date,startup,industry,subvertical,city,investors,investment_type,amount
09-01-2020,byju's,e-tech,E-learning,Bengaluru,Tiger Global Management,Private Equity,200000000
13-01-2020,shuttl,transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394
09-01-2020,mamaearth,e-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860
02-01-2020,wealthbucket,fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,3000000
02-01-2020,fashor,fashion and apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,1800000
13-01-2020,pando,logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000
10-01-2020,zomato,hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity,150000000
12-12-2019,ecozen,technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000
06-12-2019,cardekho,e-commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000
03-12-2019,dhruva space,aerospace,Satellite Communication,Bengaluru,Mumbai Angels,Seed Funding,50000000
13-12-2019,rivigo,technology,Logistics Services and Solutions,Gurugram,SAIF Partners,Series F,20000000
17-12-2019,healthians,b2b-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Paytm,Series C,12000000
16-12-2019,licious,e-commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000
14-12-2019,trell,video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Funding,2000000
11-12-2019,rein games,gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,50000000
20-12-2019,lenskart,e-commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000
13-11-2019,freshworks,software,Business and customer engagement tools,San Francisco,Sequoia,Series H,150000000
14-11-2019,misters,health and wellness,Men's Health and Wellness brand,Gurugram,Sauce.vc,Series B,486000
13-11-2019,sunstone eduversity,education,Elearning,Gurugram,Prime Venture Partners,Seed Funding,1500000
18-11-2019,healthians,health and wellness,Healthcare services,Gurugram,DG Daiwa Ventures,Series B,12000000
15-11-2019,ninjacart,b2b marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000
20-11-2019,aye finance,fintech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,17411265
12-11-2019,supergaming,video games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000
20-11-2019,clumio,saas,Recovery software,San Jose,Altimeter Capital,Series C,135000000
11-11-2019,ebikego,last mile transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,300000
19-11-2019,digital mall asia,e-commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,220000000
